Summary,Issue Type,Priority,Story Points,Epic Name,Sprint,Description,Acceptance Criteria,Labels,Component,Assignee
Setup NestJS project with prime-nestjs,Task,High,3,Sprint 0: Foundation Setup,Sprint 0,"Clone prime-nestjs repository and configure for ESRS XBRL Platform. Update package.json, remove unnecessary modules, configure TypeScript strict mode.","- prime-nestjs repository cloned
- package.json updated with project name and dependencies
- Unnecessary modules removed
- TypeScript strict mode enabled
- Project builds successfully",setup;backend,Backend,
Configure PostgreSQL with Supabase,Task,High,5,Sprint 0: Foundation Setup,Sprint 0,"Set up PostgreSQL database on Supabase. Configure connection pooling, SSL settings, and create initial database.","- Supabase project created
- PostgreSQL database initialized
- Connection string configured in .env
- SSL mode set to 'require'
- Connection pool tested (min 5, max 20 connections)",setup;database,Backend,
Create initial database migration,Task,High,3,Sprint 0: Foundation Setup,Sprint 0,"Create TypeORM migration for all 14 tables: organizations, workspaces, users, workspace_members, refresh_tokens, invitations, files, pdf_cache, reports, tags, canvases, xbrl_contexts, taxonomies, workspace_taxonomies, report_locks, audit_logs.","- Migration file generated with all 14 tables
- UUID primary keys configured
- Indexes created on foreign keys
- Soft delete columns added (deleted_at)
- Migration runs successfully
- All tables visible in database",database;migration,Backend,
Setup Docker configuration,Task,Medium,2,Sprint 0: Foundation Setup,Sprint 0,"Create Dockerfile for backend, docker-compose.yml for local development with PostgreSQL and Redis.","- Dockerfile created for NestJS backend
- docker-compose.yml includes PostgreSQL, Redis, and backend
- Environment variables configured
- Docker build succeeds
- Containers start successfully",setup;docker,DevOps,
Configure CI/CD pipeline,Task,Medium,0,Sprint 0: Foundation Setup,Sprint 0,"Set up GitHub Actions for automated testing, linting, and deployment to Google Cloud Run.","- GitHub Actions workflow file created
- Linting job configured
- Test job configured (placeholder for now)
- Docker build job configured
- Deployment to Cloud Run configured
- Pipeline runs successfully on push to dev branch",setup;cicd,DevOps,
Implement organization entity and CRUD,Story,High,5,Sprint 1: Multi-Tenancy Foundation,Sprint 1,"Create Organization entity, DTOs, service, controller with full CRUD operations. Organizations are top-level tenants.","- Organization entity created with TypeORM
- CreateOrganizationDto and UpdateOrganizationDto with validation
- OrganizationsService with create, findAll, findOne, update, delete methods
- OrganizationsController with REST endpoints
- Swagger documentation added
- Soft deletes implemented",multi-tenancy;backend,Backend,
Implement workspace entity and CRUD,Story,High,5,Sprint 1: Multi-Tenancy Foundation,Sprint 1,"Create Workspace entity, DTOs, service, controller. Workspaces belong to organizations and provide isolation.","- Workspace entity with organization relationship
- CreateWorkspaceDto and UpdateWorkspaceDto
- WorkspacesService with CRUD + organization validation
- WorkspacesController with REST endpoints
- Unique constraint on (organization_id, slug)
- Soft deletes implemented",multi-tenancy;backend,Backend,
Setup Row-Level Security policies,Task,High,3,Sprint 1: Multi-Tenancy Foundation,Sprint 1,"Create PostgreSQL RLS policies on all workspace-scoped tables (files, pdf_cache, reports, tags, canvases, xbrl_contexts, report_locks).","- RLS enabled on 7 workspace-scoped tables
- Policies created using app.current_workspace_id
- Migration file for RLS policies
- RLS tested with different workspace_id values
- Documentation added for RLS pattern",multi-tenancy;database,Backend,
Create workspace middleware,Task,High,3,Sprint 1: Multi-Tenancy Foundation,Sprint 1,"Implement middleware to set PostgreSQL session variable (app.current_workspace_id) from X-Workspace-Id header or user context.","- WorkspaceMiddleware class created
- Middleware reads X-Workspace-Id header
- Sets app.current_workspace_id session variable
- Registered globally in AppModule
- Tested with database queries filtered by RLS",multi-tenancy;backend,Backend,
Implement user entity and repository,Story,High,5,Sprint 2: Authentication,Sprint 2,"Create User entity with password hashing, email validation. User belongs to organization.","- User entity with all fields (email, password_hash, first_name, last_name, role, etc.)
- Password hashing with bcrypt (10 rounds)
- Email uniqueness constraint
- Role enum (super_admin, org_admin, workspace_admin, editor, viewer)
- Soft deletes implemented",auth;backend,Backend,
Implement JWT authentication,Story,High,5,Sprint 2: Authentication,Sprint 2,"Set up JWT authentication with RSA256 signing. Access tokens (30 min) and refresh tokens (7 days).","- JWT strategy implemented with Passport
- RSA256 key pair generated
- Access token expiry: 30 minutes
- Refresh token expiry: 7 days
- JwtAuthGuard created
- Tokens include userId, organizationId, role",auth;backend,Backend,
Create auth endpoints (register/login/logout),Story,High,3,Sprint 2: Authentication,Sprint 2,"Implement POST /auth/register, POST /auth/login, POST /auth/logout, POST /auth/refresh, GET /auth/me endpoints.","- POST /auth/register creates organization + admin user
- POST /auth/login validates credentials and returns tokens
- POST /auth/logout revokes refresh token
- POST /auth/refresh generates new token pair
- GET /auth/me returns current user profile
- Tokens set in httpOnly cookies",auth;backend,Backend,
Implement refresh token rotation,Task,Medium,0,Sprint 2: Authentication,Sprint 2,"Create RefreshToken entity and implement token rotation on refresh. Old tokens revoked.","- RefreshToken entity created
- Token stored in database on login
- Refresh endpoint revokes old token and creates new one
- Expired tokens cleaned up (cron job)
- Revoked tokens cannot be reused",auth;backend,Backend,
Create workspace member management,Story,High,5,Sprint 3: Organization Management,Sprint 3,"Implement workspace_members CRUD: add member, list members, update role, remove member.","- WorkspaceMember entity created
- Service methods: addMember, listMembers, updateRole, removeMember
- Controller endpoints: POST/GET/PATCH/DELETE /workspaces/:id/members
- Role-based validation (only workspace admins can manage)
- Audit logs for member changes",multi-tenancy;backend,Backend,
Implement invitation system,Story,High,5,Sprint 3: Organization Management,Sprint 3,"Create invitation flow: send invite, accept invite, revoke invite. Email invitations to join workspace.","- Invitation entity created
- POST /invitations endpoint (sends email)
- POST /invitations/:token/accept endpoint
- Email service integration (SendGrid or SMTP)
- Token expiry (7 days)
- Status tracking (pending, accepted, expired, revoked)",multi-tenancy;backend,Backend,
Create workspace guard,Task,High,3,Sprint 3: Organization Management,Sprint 3,"Implement WorkspaceGuard to verify user has access to workspace from X-Workspace-Id header.","- WorkspaceGuard checks workspace membership
- Returns 403 if user not in workspace
- Applied to all workspace-scoped endpoints
- Sets RLS session variable
- Custom decorator @WorkspaceId() to extract workspace ID",multi-tenancy;backend,Backend,
Implement role-based access control,Task,Medium,3,Sprint 3: Organization Management,Sprint 3,"Create guards and decorators for role-based permissions (admin, editor, viewer).","- RolesGuard checks user role
- @Roles() decorator for controllers
- Role hierarchy: super_admin > org_admin > workspace_admin > editor > viewer
- Applied to sensitive endpoints (delete, update settings)
- Tests for permission checks",auth;backend,Backend,
Implement file upload endpoint,Story,High,5,Sprint 4: File Management,Sprint 4,"Create POST /files/upload endpoint supporting PDF and DOCX files (max 70MB). Store in GCS or local filesystem.","- Multer configured for multipart/form-data
- File type validation (PDF, DOCX only)
- File size limit: 70MB
- Storage adapter pattern (local vs GCS)
- File entity created with metadata
- Returns file ID and metadata",files;backend,Backend,
Setup Google Cloud Storage integration,Task,Medium,3,Sprint 4: File Management,Sprint 4,"Configure GCS bucket, service account, and implement storage service for production.","- GCS bucket created
- Service account with storage permissions
- @google-cloud/storage library integrated
- Storage service with upload/download/delete methods
- Presigned URLs for secure downloads
- Local filesystem fallback for development",files;backend;cloud,Backend,
Implement file metadata extraction,Task,Medium,3,Sprint 4: File Management,Sprint 4,"Extract metadata from uploaded files: page count, dimensions, file type, MIME type.","- PDF: Extract page count using pdf-parse
- DOCX: Extract page count estimate
- Store in file.metadata JSONB field
- Metadata returned in upload response
- Error handling for corrupted files",files;backend,Backend,
Create file download endpoint,Story,Medium,2,Sprint 4: File Management,Sprint 4,"Implement GET /files/:id/download that returns file stream or presigned GCS URL.","- GET /files/:id/download endpoint
- For GCS: returns presigned URL (1-hour expiry)
- For local: streams file directly
- Workspace isolation enforced (RLS)
- Content-Disposition header set for download",files;backend,Backend,
Implement PDF text extraction,Story,High,5,Sprint 5: PDF Processing,Sprint 5,"Extract full text content from PDF files using pdf-parse and pdfjs-dist. Store in pdf_cache table.","- pdf-parse library integrated
- Text extracted per page
- pdfjs-dist for enhanced extraction
- Text stored in pdf_cache.text_content
- Handles multi-column layouts
- Error handling for scanned PDFs (OCR not in MVP)",pdf;backend,Backend,
Extract word-level bounding boxes,Story,High,8,Sprint 5: PDF Processing,Sprint 5,"Extract word positions (x, y, width, height) for each word on each page. Store as JSONB in pdf_cache.word_data.","- pdfjs-dist used for word extraction
- Each word: {text, x, y, width, height}
- Stored in pdf_cache.word_data as JSON array
- Tested with complex layouts
- Performance: <10s for 50-page PDF",pdf;backend,Backend,
Render PDF pages to JPEG images,Story,High,5,Sprint 5: PDF Processing,Sprint 5,"Render each PDF page to JPEG image at 150 DPI. Store in pdf_cache.image_data as bytea.","- pdfjs-dist canvas rendering
- Resolution: 150 DPI
- Format: JPEG (quality 85)
- Stored in pdf_cache.image_data (bytea)
- GET /pdf-cache/:fileId/pages/:page/image endpoint
- Image served with proper MIME type",pdf;backend,Backend,
Create Bull queue for async processing,Task,Medium,3,Sprint 5: PDF Processing,Sprint 5,"Set up Bull queue with Redis for background PDF processing jobs. Process on upload.","- Bull library integrated
- Redis connection configured
- PdfProcessingQueue created
- Job added on file upload
- Worker processes jobs asynchronously
- Job status tracking (queued, processing, completed, failed)",pdf;backend,Backend,
Implement report entity and CRUD,Story,High,5,Sprint 6: Report Management,Sprint 6,"Create Report entity, DTOs, service, controller. Report links to file and taxonomy.","- Report entity with file and taxonomy relationships
- CRUD operations (create, list, get, update, delete)
- Status field (draft, review, approved, published)
- Workspace isolation enforced
- Soft deletes implemented
- Audit logging",reports;backend,Backend,
